polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Direction,Direction,left,2.5,left,0.735
neutral,Sound,Sound,right,2.5,right,0.952
conflict,Direction,Sound,right,2.5,right,0.562
congruent,Direction,Sound,right,2.5,right,0.689
conflict,Sound,Direction,left,2.5,right,0.664
congruent,Sound,Direction,left,2.5,left,0.489
neutral,Sound,Sound,left,2.5,right,0.727
neutral,Movement,Movement,right,2.5,right,0.555
congruent,Sound,Movement,right,2.5,right,0.619
conflict,Sound,Movement,right,2.5,right,1.057
congruent,Movement,Sound,left,2.5,left,0.833
conflict,Movement,Sound,right,2.5,right,0.625
neutral,Movement,Movement,left,2.5,left,0.501
neutral,Direction,Direction,left,2.5,left,0.722
congruent,Movement,Direction,left,2.5,right,0.624
conflict,Movement,Direction,right,2.5,right,0.646
congruent,Direction,Movement,left,2.5,left,0.788
conflict,Direction,Movement,right,2.5,right,0.896
