polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Movement,Movement,left,2.5,left,1.894
neutral,Movement,Movement,left,2.5,left,1.893
neutral,Movement,Movement,right,2.5,right,0.483
neutral,Movement,Movement,left,2.5,left,0.653
neutral,Movement,Movement,left,2.5,left,0.502
neutral,Movement,Movement,right,2.5,right,0.654
neutral,Movement,Movement,right,2.5,right,0.502
neutral,Movement,Movement,right,2.5,right,0.589
neutral,Movement,Movement,left,2.5,left,0.537
neutral,Movement,Movement,right,2.5,right,0.553
neutral,Direction,Direction,right,2.5,right,0.732
neutral,Direction,Direction,right,2.5,right,2.455
neutral,Direction,Direction,right,2.5,right,0.842
neutral,Direction,Direction,right,2.5,right,0.86
neutral,Direction,Direction,right,2.5,right,1.948
neutral,Direction,Direction,left,2.5,left,1.065
neutral,Direction,Direction,right,2.5,right,0.789
neutral,Direction,Direction,right,2.5,right,1.264
neutral,Direction,Direction,right,2.5,right,0.723
neutral,Direction,Direction,right,2.5,right,0.892
congruent,Movement,Direction,right,2.5,right,0.511
conflict,Movement,Direction,left,2.5,right,0.739
congruent,Movement,Direction,left,2.5,right,0.414
congruent,Movement,Direction,right,2.5,left,0.0
congruent,Movement,Direction,right,2.5,right,0.518
conflict,Movement,Direction,left,2.5,right,0.566
conflict,Movement,Direction,right,2.5,left,0.62
congruent,Movement,Direction,right,2.5,right,0.469
conflict,Movement,Direction,right,2.5,left,0.572
conflict,Movement,Direction,left,2.5,right,0.484
congruent,Direction,Movement,right,2.5,right,1.096
conflict,Direction,Movement,right,2.5,right,0.519
congruent,Direction,Movement,left,2.5,left,0.503
congruent,Direction,Movement,right,2.5,right,0.435
congruent,Direction,Movement,left,2.5,left,0.471
conflict,Direction,Movement,right,2.5,right,0.431
conflict,Direction,Movement,left,2.5,left,0.452
congruent,Direction,Movement,right,2.5,right,0.382
conflict,Direction,Movement,right,2.5,right,0.519
conflict,Direction,Movement,right,2.5,right,0.503
conflict,Direction,Movement,left,2.5,left,0.774
conflict,Direction,Movement,left,2.5,left,0.928
congruent,Direction,Movement,right,2.5,right,0.807
conflict,Movement,Direction,left,2.5,right,1.506
conflict,Movement,Direction,right,2.5,left,0.956
congruent,Direction,Movement,right,2.5,right,0.757
congruent,Movement,Direction,right,2.5,right,0.875
congruent,Movement,Direction,left,2.5,left,0.792
congruent,Movement,Direction,right,2.5,right,0.689
conflict,Movement,Direction,left,2.5,right,0.688
congruent,Direction,Movement,left,2.5,left,1.012
congruent,Direction,Movement,left,2.5,left,0.724
congruent,Movement,Direction,left,2.5,left,1.286
conflict,Movement,Direction,right,2.5,left,0.62
congruent,Movement,Direction,right,2.5,right,0.824
congruent,Direction,Movement,right,2.5,right,0.98
conflict,Direction,Movement,left,2.5,left,0.859
conflict,Direction,Movement,right,2.5,right,1.486
conflict,Movement,Direction,left,2.5,left,1.319
conflict,Direction,Movement,left,2.5,left,1.47
neutral,Sound,Sound,right,2.5,right,1.454
neutral,Sound,Sound,left,2.5,left,0.771
neutral,Sound,Sound,left,2.5,left,0.652
neutral,Sound,Sound,left,2.5,left,0.622
neutral,Sound,Sound,left,2.5,left,0.518
neutral,Sound,Sound,left,2.5,left,0.462
neutral,Sound,Sound,right,2.5,left,0.401
neutral,Sound,Sound,right,2.5,right,0.259
neutral,Sound,Sound,left,2.5,left,0.582
neutral,Sound,Sound,left,2.5,right,0.48
neutral,Movement,Movement,left,2.5,left,0.896
neutral,Movement,Movement,right,2.5,right,0.757
neutral,Movement,Movement,right,2.5,right,0.569
neutral,Movement,Movement,left,2.5,left,0.588
neutral,Movement,Movement,right,2.5,right,0.535
neutral,Movement,Movement,right,2.5,right,0.603
neutral,Movement,Movement,right,2.5,right,0.517
neutral,Movement,Movement,right,2.5,right,0.502
neutral,Movement,Movement,left,2.5,left,0.603
neutral,Movement,Movement,right,2.5,right,0.638
congruent,Sound,Movement,left,2.5,left,0.829
conflict,Sound,Movement,left,2.5,left,0.908
congruent,Sound,Movement,left,2.5,left,0.654
conflict,Sound,Movement,right,2.5,right,0.67
congruent,Sound,Movement,right,2.5,right,0.602
conflict,Sound,Movement,left,2.5,right,0.518
congruent,Sound,Movement,right,2.5,right,0.584
conflict,Sound,Movement,right,2.5,left,0.465
conflict,Sound,Movement,left,2.5,right,0.5
congruent,Sound,Movement,right,2.5,right,0.655
congruent,Movement,Sound,left,2.5,left,1.677
conflict,Movement,Sound,left,2.5,left,1.383
congruent,Movement,Sound,right,2.5,right,0.704
conflict,Movement,Sound,left,2.5,left,0.636
congruent,Movement,Sound,left,2.5,left,0.824
conflict,Movement,Sound,left,2.5,left,0.653
congruent,Movement,Sound,left,2.5,left,0.826
conflict,Movement,Sound,left,2.5,left,0.622
conflict,Movement,Sound,left,2.5,left,0.756
congruent,Movement,Sound,left,2.5,left,0.497
congruent,Sound,Movement,left,2.5,left,1.65
congruent,Movement,Sound,right,2.5,right,0.753
conflict,Movement,Sound,right,2.5,right,0.582
congruent,Movement,Sound,left,2.5,left,0.823
conflict,Sound,Movement,right,2.5,left,0.769
conflict,Movement,Sound,right,2.5,right,0.583
congruent,Sound,Movement,right,2.5,right,0.55
conflict,Movement,Sound,left,2.5,left,0.658
congruent,Sound,Movement,right,2.5,right,0.504
congruent,Movement,Sound,left,2.5,left,0.518
congruent,Sound,Movement,left,2.5,right,0.484
congruent,Movement,Sound,right,2.5,right,1.092
conflict,Movement,Sound,left,2.5,left,0.803
congruent,Sound,Movement,right,2.5,right,0.738
conflict,Sound,Movement,right,2.5,right,0.837
congruent,Movement,Sound,left,2.5,left,0.671
conflict,Sound,Movement,right,2.5,right,0.892
conflict,Sound,Movement,left,2.5,left,0.705
conflict,Movement,Sound,right,2.5,right,1.539
conflict,Sound,Movement,left,2.5,right,1.078
neutral,Direction,Direction,right,2.5,right,0.544
neutral,Direction,Direction,right,2.5,right,0.57
neutral,Direction,Direction,right,2.5,right,0.825
neutral,Direction,Direction,left,2.5,left,0.823
neutral,Direction,Direction,right,2.5,right,0.705
neutral,Direction,Direction,left,2.5,left,0.737
neutral,Direction,Direction,right,2.5,right,0.536
neutral,Direction,Direction,right,2.5,right,0.585
neutral,Direction,Direction,right,2.5,right,1.474
neutral,Direction,Direction,right,2.5,right,0.57
neutral,Sound,Sound,left,2.5,left,0.878
neutral,Sound,Sound,right,2.5,right,0.584
neutral,Sound,Sound,left,2.5,left,0.616
neutral,Sound,Sound,right,2.5,right,0.564
neutral,Sound,Sound,right,2.5,right,0.734
neutral,Sound,Sound,left,2.5,left,0.553
neutral,Sound,Sound,left,2.5,left,0.654
neutral,Sound,Sound,left,2.5,left,0.637
neutral,Sound,Sound,left,2.5,right,0.0
neutral,Sound,Sound,right,2.5,right,0.668
congruent,Direction,Sound,right,2.5,right,1.292
conflict,Direction,Sound,right,2.5,right,0.853
congruent,Direction,Sound,left,2.5,left,0.688
conflict,Direction,Sound,right,2.5,right,0.518
congruent,Direction,Sound,left,2.5,left,0.685
congruent,Direction,Sound,right,2.5,right,0.485
conflict,Direction,Sound,left,2.5,left,0.553
congruent,Direction,Sound,left,2.5,left,0.925
conflict,Direction,Sound,right,2.5,right,0.497
conflict,Direction,Sound,right,2.5,right,0.568
congruent,Sound,Direction,right,2.5,right,0.758
conflict,Sound,Direction,left,2.5,right,0.993
congruent,Sound,Direction,left,2.5,left,0.889
conflict,Sound,Direction,left,2.5,right,0.703
congruent,Sound,Direction,left,2.5,left,0.943
congruent,Sound,Direction,right,2.5,right,0.635
conflict,Sound,Direction,left,2.5,right,0.535
congruent,Sound,Direction,left,2.5,left,0.055
conflict,Sound,Direction,right,2.5,right,1.215
conflict,Sound,Direction,left,2.5,left,0.822
congruent,Sound,Direction,left,2.5,left,0.883
congruent,Direction,Sound,right,2.5,right,1.472
congruent,Sound,Direction,left,2.5,left,0.803
conflict,Direction,Sound,right,2.5,right,1.658
conflict,Direction,Sound,right,2.5,right,0.893
congruent,Direction,Sound,right,2.5,right,1.113
congruent,Sound,Direction,left,2.5,left,1.147
congruent,Direction,Sound,left,2.5,left,1.349
conflict,Sound,Direction,left,2.5,left,1.011
conflict,Direction,Sound,left,2.5,left,1.522
conflict,Sound,Direction,left,2.5,left,1.351
congruent,Direction,Sound,right,2.5,right,0.971
conflict,Sound,Direction,left,2.5,left,1.403
conflict,Direction,Sound,right,2.5,right,1.672
congruent,Sound,Direction,left,2.5,left,1.3
congruent,Sound,Direction,left,2.5,left,0.876
conflict,Direction,Sound,left,2.5,left,1.45
conflict,Sound,Direction,left,2.5,left,2.254
conflict,Sound,Direction,right,2.5,right,1.404
congruent,Direction,Sound,right,2.5,right,1.047
