polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Movement,Movement,left,2.5,left,0.668
neutral,Movement,Movement,left,2.5,left,0.706
neutral,Movement,Movement,right,2.5,right,0.535
neutral,Movement,Movement,left,2.5,left,0.637
neutral,Movement,Movement,left,2.5,left,0.468
neutral,Movement,Movement,right,2.5,right,0.602
neutral,Movement,Movement,right,2.5,right,0.537
neutral,Movement,Movement,left,2.5,left,0.69
neutral,Movement,Movement,left,2.5,left,0.622
neutral,Movement,Movement,right,2.5,right,0.707
neutral,Direction,Direction,right,2.5,right,0.88
neutral,Direction,Direction,right,2.5,right,1.297
neutral,Direction,Direction,left,2.5,left,0.689
neutral,Direction,Direction,right,2.5,right,0.79
neutral,Direction,Direction,left,2.5,left,0.808
neutral,Direction,Direction,right,2.5,right,0.621
neutral,Direction,Direction,right,2.5,right,0.638
neutral,Direction,Direction,left,2.5,left,0.569
neutral,Direction,Direction,left,2.5,left,0.605
neutral,Direction,Direction,right,2.5,right,0.518
congruent,Movement,Direction,right,2.5,left,0.757
conflict,Movement,Direction,left,2.5,left,0.893
conflict,Movement,Direction,right,2.5,right,1.338
conflict,Movement,Direction,left,2.5,left,0.638
congruent,Movement,Direction,left,2.5,left,0.672
conflict,Movement,Direction,right,2.5,right,0.84
congruent,Movement,Direction,left,2.5,left,0.81
congruent,Movement,Direction,right,2.5,right,0.588
conflict,Movement,Direction,right,2.5,right,0.707
congruent,Movement,Direction,right,2.5,right,0.689
congruent,Direction,Movement,left,2.5,left,0.845
conflict,Direction,Movement,left,2.5,left,0.773
conflict,Direction,Movement,right,2.5,right,0.503
conflict,Direction,Movement,right,2.5,right,0.622
congruent,Direction,Movement,left,2.5,left,0.484
conflict,Direction,Movement,right,2.5,right,0.453
congruent,Direction,Movement,right,2.5,right,0.64
congruent,Direction,Movement,right,2.5,right,0.453
conflict,Direction,Movement,right,2.5,right,0.569
congruent,Direction,Movement,left,2.5,left,0.5
conflict,Direction,Movement,left,2.5,left,0.585
conflict,Movement,Direction,left,2.5,left,1.102
congruent,Direction,Movement,right,2.5,right,0.57
