polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Direction,Direction,left,1,none,1
neutral,Movement,Movement,left,1,none,1
neutral,Movement,Movement,right,1,none,1
neutral,Movement,Movement,right,1,none,1
congruent,Movement,Direction,left,1,none,1
congruent,Movement,Direction,right,1,none,1
congruent,Movement,Direction,left,1,none,1
conflict,Movement,Direction,right,1,none,1
congruent,Movement,Direction,left,1,none,1
congruent,Movement,Direction,left,1,none,1
congruent,Direction,Movement,left,1,none,1
congruent,Movement,Direction,left,1,none,1
neutral,Sound,Sound,right,1,none,1
neutral,Sound,Sound,left,1,none,1
neutral,Movement,Movement,left,1,none,1
neutral,Sound,Sound,right,1,none,1
congruent,Sound,Movement,left,1,none,1
congruent,Sound,Movement,right,1,none,1
conflict,Sound,Movement,right,1,none,1
congruent,Movement,Sound,right,1,none,1
conflict,Movement,Sound,right,1,none,1
conflict,Sound,Movement,right,1,none,1
conflict,Sound,Movement,right,1,none,1
congruent,Movement,Sound,right,1,none,1
neutral,Sound,Sound,left,1,none,1
neutral,Sound,Sound,left,1,none,1
neutral,Sound,Sound,right,1,none,1
neutral,Sound,Sound,right,1,none,1
congruent,Sound,Direction,left,1,none,1
conflict,Sound,Direction,right,1,none,1
congruent,Direction,Sound,right,1,none,1
congruent,Direction,Sound,right,1,none,1
congruent,Direction,Sound,left,1,none,1
conflict,Sound,Direction,left,1,none,1
congruent,Sound,Direction,right,1,none,1
congruent,Sound,Direction,left,1,none,1
