polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Sound,Sound,right,2.5,right,0.968
neutral,Sound,Sound,left,2.5,left,0.702
neutral,Sound,Sound,right,2.5,right,0.604
neutral,Sound,Sound,left,2.5,left,0.588
neutral,Sound,Sound,right,2.5,right,0.602
neutral,Sound,Sound,right,2.5,right,0.859
neutral,Sound,Sound,right,2.5,right,0.707
neutral,Sound,Sound,left,2.5,left,0.599
neutral,Sound,Sound,left,2.5,left,0.654
neutral,Sound,Sound,left,2.5,left,0.638
neutral,Movement,Movement,right,2.5,right,0.965
neutral,Movement,Movement,left,2.5,left,0.603
neutral,Movement,Movement,left,2.5,left,0.451
neutral,Movement,Movement,right,2.5,right,0.384
neutral,Movement,Movement,left,2.5,left,0.383
neutral,Movement,Movement,left,2.5,left,0.383
neutral,Movement,Movement,right,2.5,left,0.33
neutral,Movement,Movement,right,2.5,right,0.0
neutral,Movement,Movement,right,2.5,right,0.556
neutral,Movement,Movement,left,2.5,left,0.467
congruent,Sound,Movement,left,2.5,left,0.604
conflict,Sound,Movement,right,2.5,right,0.722
conflict,Sound,Movement,left,2.5,left,0.621
conflict,Sound,Movement,right,2.5,right,0.623
congruent,Sound,Movement,right,2.5,right,0.652
congruent,Sound,Movement,left,2.5,left,0.667
conflict,Sound,Movement,right,2.5,right,0.636
congruent,Sound,Movement,left,2.5,left,0.639
congruent,Sound,Movement,left,2.5,left,0.635
conflict,Sound,Movement,right,2.5,right,0.619
congruent,Movement,Sound,right,2.5,right,0.616
conflict,Movement,Sound,left,2.5,left,0.482
conflict,Movement,Sound,left,2.5,left,0.449
conflict,Movement,Sound,left,2.5,left,0.4
congruent,Movement,Sound,right,2.5,right,0.379
congruent,Movement,Sound,left,2.5,left,0.449
conflict,Movement,Sound,right,2.5,right,0.445
congruent,Movement,Sound,right,2.5,right,0.347
congruent,Movement,Sound,left,2.5,left,0.349
conflict,Movement,Sound,right,2.5,right,0.331
conflict,Sound,Movement,left,2.5,right,0.654
congruent,Sound,Movement,right,2.5,left,0.481
congruent,Movement,Sound,right,2.5,left,0.533
congruent,Movement,Sound,left,2.5,left,0.519
congruent,Movement,Sound,left,2.5,left,0.484
congruent,Sound,Movement,right,2.5,right,0.451
conflict,Sound,Movement,right,2.5,left,0.467
congruent,Sound,Movement,left,2.5,left,0.448
congruent,Sound,Movement,right,2.5,right,0.363
conflict,Movement,Sound,right,2.5,right,0.706
congruent,Movement,Sound,left,2.5,left,0.397
congruent,Sound,Movement,right,2.5,right,0.806
conflict,Sound,Movement,left,2.5,right,0.874
congruent,Movement,Sound,left,2.5,left,0.872
conflict,Movement,Sound,right,2.5,right,0.602
conflict,Movement,Sound,left,2.5,left,0.638
conflict,Movement,Sound,left,2.5,left,0.45
conflict,Movement,Sound,right,2.5,right,0.464
conflict,Sound,Movement,left,2.5,left,1.059
conflict,Sound,Movement,right,2.5,right,0.74
neutral,Movement,Movement,left,2.5,left,0.818
neutral,Movement,Movement,right,2.5,right,0.45
neutral,Movement,Movement,left,2.5,left,0.453
neutral,Movement,Movement,left,2.5,left,0.399
neutral,Movement,Movement,right,2.5,right,0.433
neutral,Movement,Movement,right,2.5,right,0.382
neutral,Movement,Movement,right,2.5,right,0.45
neutral,Movement,Movement,right,2.5,right,0.384
neutral,Movement,Movement,left,2.5,left,0.484
neutral,Movement,Movement,left,2.5,left,0.367
neutral,Direction,Direction,right,2.5,right,0.59
neutral,Direction,Direction,right,2.5,right,0.552
neutral,Direction,Direction,left,2.5,left,0.536
neutral,Direction,Direction,left,2.5,left,0.517
neutral,Direction,Direction,left,2.5,left,0.35
neutral,Direction,Direction,left,2.5,left,0.691
neutral,Direction,Direction,left,2.5,left,0.637
neutral,Direction,Direction,left,2.5,left,0.433
neutral,Direction,Direction,left,2.5,left,0.399
neutral,Direction,Direction,right,2.5,right,0.501
conflict,Movement,Direction,right,2.5,left,1.073
congruent,Movement,Direction,right,2.5,right,0.946
conflict,Movement,Direction,right,2.5,left,1.488
congruent,Movement,Direction,left,2.5,left,0.707
congruent,Movement,Direction,right,2.5,right,0.604
conflict,Movement,Direction,left,2.5,right,0.654
conflict,Movement,Direction,left,2.5,left,0.874
conflict,Movement,Direction,left,2.5,left,0.553
congruent,Movement,Direction,left,2.5,left,0.641
congruent,Movement,Direction,left,2.5,left,0.468
conflict,Direction,Movement,right,2.5,right,1.25
congruent,Direction,Movement,left,2.5,left,0.621
conflict,Direction,Movement,left,2.5,left,0.569
congruent,Direction,Movement,right,2.5,right,0.657
congruent,Direction,Movement,right,2.5,right,0.604
conflict,Direction,Movement,left,2.5,left,0.469
conflict,Direction,Movement,left,2.5,left,0.465
conflict,Direction,Movement,left,2.5,left,0.416
congruent,Direction,Movement,right,2.5,right,0.502
congruent,Direction,Movement,right,2.5,right,0.501
conflict,Movement,Direction,left,2.5,left,0.997
conflict,Movement,Direction,left,2.5,left,0.521
congruent,Direction,Movement,right,2.5,right,0.944
congruent,Direction,Movement,left,2.5,left,0.64
congruent,Movement,Direction,left,2.5,left,0.86
congruent,Movement,Direction,left,2.5,left,0.467
conflict,Direction,Movement,right,2.5,right,0.776
conflict,Movement,Direction,left,2.5,right,0.863
congruent,Movement,Direction,right,2.5,right,0.894
conflict,Direction,Movement,left,2.5,left,1.186
conflict,Movement,Direction,left,2.5,left,0.841
conflict,Movement,Direction,left,2.5,left,0.62
conflict,Direction,Movement,left,2.5,left,1.235
congruent,Movement,Direction,left,2.5,left,0.793
congruent,Direction,Movement,left,2.5,left,0.861
congruent,Movement,Direction,right,2.5,right,1.079
congruent,Direction,Movement,right,2.5,right,1.213
congruent,Direction,Movement,right,2.5,right,0.552
conflict,Direction,Movement,left,2.5,left,0.688
conflict,Direction,Movement,right,2.5,right,0.554
neutral,Direction,Direction,right,2.5,right,0.771
neutral,Direction,Direction,right,2.5,right,0.467
neutral,Direction,Direction,right,2.5,right,0.367
neutral,Direction,Direction,right,2.5,right,0.365
neutral,Direction,Direction,right,2.5,right,0.348
neutral,Direction,Direction,right,2.5,right,0.348
neutral,Direction,Direction,right,2.5,right,0.35
neutral,Direction,Direction,left,2.5,left,0.484
neutral,Direction,Direction,right,2.5,right,0.45
neutral,Direction,Direction,right,2.5,right,0.4
neutral,Sound,Sound,left,2.5,left,0.703
neutral,Sound,Sound,left,2.5,left,0.566
neutral,Sound,Sound,right,2.5,right,0.552
neutral,Sound,Sound,left,2.5,left,0.599
neutral,Sound,Sound,left,2.5,left,0.604
neutral,Sound,Sound,left,2.5,left,0.553
neutral,Sound,Sound,left,2.5,left,0.567
neutral,Sound,Sound,left,2.5,left,0.501
neutral,Sound,Sound,left,2.5,left,0.501
neutral,Sound,Sound,left,2.5,left,0.549
congruent,Direction,Sound,left,2.5,left,0.554
conflict,Direction,Sound,right,2.5,right,0.481
conflict,Direction,Sound,left,2.5,left,0.634
congruent,Direction,Sound,right,2.5,right,0.43
conflict,Direction,Sound,right,2.5,right,0.5
conflict,Direction,Sound,left,2.5,left,0.416
congruent,Direction,Sound,left,2.5,left,0.415
congruent,Direction,Sound,left,2.5,left,0.517
conflict,Direction,Sound,right,2.5,right,0.548
congruent,Direction,Sound,left,2.5,left,0.4
congruent,Sound,Direction,right,2.5,right,0.707
conflict,Sound,Direction,left,2.5,left,0.755
conflict,Sound,Direction,left,2.5,left,0.636
congruent,Sound,Direction,left,2.5,left,0.654
conflict,Sound,Direction,right,2.5,right,0.567
conflict,Sound,Direction,left,2.5,left,0.567
congruent,Sound,Direction,left,2.5,left,0.514
congruent,Sound,Direction,right,2.5,right,0.601
conflict,Sound,Direction,right,2.5,right,0.618
congruent,Sound,Direction,left,2.5,left,0.535
congruent,Sound,Direction,left,2.5,left,0.72
conflict,Sound,Direction,right,2.5,left,0.705
conflict,Direction,Sound,right,2.5,right,1.013
congruent,Direction,Sound,right,2.5,right,0.788
conflict,Direction,Sound,left,2.5,left,0.537
