polarity,todotask,othertask,correct,total_time,key_pressed,time_taken
neutral,Direction,Direction,right,2.5,right,0.804
neutral,Direction,Direction,right,2.5,right,0.91
neutral,Direction,Direction,right,2.5,right,2.186
neutral,Direction,Direction,left,2.5,left,0.739
neutral,Direction,Direction,left,2.5,left,0.724
neutral,Direction,Direction,right,2.5,right,0.655
neutral,Direction,Direction,left,2.5,left,0.603
neutral,Direction,Direction,left,2.5,left,0.688
neutral,Direction,Direction,left,2.5,left,0.671
neutral,Direction,Direction,left,2.5,left,0.62
neutral,Sound,Sound,left,2.5,left,0.838
neutral,Sound,Sound,left,2.5,left,0.636
neutral,Sound,Sound,right,2.5,right,0.719
neutral,Sound,Sound,right,2.5,right,0.603
neutral,Sound,Sound,left,2.5,left,0.603
neutral,Sound,Sound,left,2.5,left,0.758
neutral,Sound,Sound,left,2.5,left,0.668
neutral,Sound,Sound,right,2.5,right,0.605
neutral,Sound,Sound,right,2.5,right,0.637
neutral,Sound,Sound,right,2.5,right,0.532
congruent,Direction,Sound,left,2.5,left,0.635
congruent,Direction,Sound,left,2.5,left,0.753
congruent,Direction,Sound,left,2.5,left,0.599
conflict,Direction,Sound,right,2.5,right,0.585
conflict,Direction,Sound,right,2.5,right,0.466
congruent,Direction,Sound,right,2.5,left,0.995
conflict,Direction,Sound,left,2.5,left,0.773
conflict,Direction,Sound,left,2.5,left,0.548
conflict,Direction,Sound,right,2.5,right,0.546
congruent,Direction,Sound,left,2.5,left,0.483
congruent,Sound,Direction,right,2.5,right,1.06
congruent,Sound,Direction,right,2.5,right,0.67
congruent,Sound,Direction,right,2.5,right,0.771
conflict,Sound,Direction,left,2.5,left,0.633
conflict,Sound,Direction,right,2.5,right,0.856
congruent,Sound,Direction,right,2.5,right,0.584
conflict,Sound,Direction,left,2.5,left,0.701
conflict,Sound,Direction,left,2.5,left,0.787
conflict,Sound,Direction,left,2.5,left,0.718
congruent,Sound,Direction,left,2.5,left,0.533
conflict,Direction,Sound,right,2.5,right,0.718
conflict,Sound,Direction,right,2.5,left,0.533
conflict,Direction,Sound,right,2.5,right,0.439
congruent,Sound,Direction,left,2.5,left,0.412
conflict,Direction,Sound,left,2.5,right,0.345
congruent,Sound,Direction,left,2.5,left,0.584
congruent,Direction,Sound,left,2.5,left,0.533
congruent,Sound,Direction,left,2.5,left,0.498
congruent,Direction,Sound,left,2.5,left,0.501
congruent,Direction,Sound,left,2.5,left,0.377
conflict,Sound,Direction,right,2.5,left,0.396
congruent,Direction,Sound,right,2.5,right,0.517
congruent,Sound,Direction,right,2.5,right,0.771
