polarity,todotask,correct,total_time,audio_path,response,time_taken
neutral,word,HOUSE,1,pilot_study_data/3/audios/neutral_0_word.wav, House,1.0624943310657597
neutral,word,CAT,1,pilot_study_data/3/audios/neutral_1_word.wav, Get,1.0624943310657597
neutral,word,BALL,1,pilot_study_data/3/audios/neutral_2_word.wav, Bogn,1.0624943310657597
neutral,word,TABLE,1,pilot_study_data/3/audios/neutral_3_word.wav, table,1.0624943310657597
neutral,word,ROCK,1,pilot_study_data/3/audios/neutral_4_word.wav, for Up!,1.0624943310657597
neutral,word,TREE,1,pilot_study_data/3/audios/neutral_5_word.wav, 3,1.0624943310657597
neutral,word,BOOK,1,pilot_study_data/3/audios/neutral_6_word.wav, Book,1.0624943310657597
neutral,word,ROPE,1,pilot_study_data/3/audios/neutral_7_word.wav, Rob,1.0624943310657597
neutral,word,FISH,1,pilot_study_data/3/audios/neutral_8_word.wav, Fish,1.0624943310657597
neutral,word,BABY,1,pilot_study_data/3/audios/neutral_9_word.wav, Baby,1.0624943310657597
neutral,word,SPOON,1,pilot_study_data/3/audios/neutral_10_word.wav, Spoon,1.0624943310657597
neutral,word,GUN,1,pilot_study_data/3/audios/neutral_11_word.wav, Gun,1.0624943310657597
neutral,color,BLUE,1,pilot_study_data/3/audios/neutral_0_color.wav, Blue,1.0624943310657597
neutral,color,GREEN,1,pilot_study_data/3/audios/neutral_1_color.wav, Green,1.0624943310657597
neutral,color,YELLOW,1,pilot_study_data/3/audios/neutral_2_color.wav, Yellow,1.0624943310657597
neutral,color,BLUE,1,pilot_study_data/3/audios/neutral_3_color.wav, Blu,1.0624943310657597
neutral,color,RED,1,pilot_study_data/3/audios/neutral_4_color.wav, Red,1.0624943310657597
neutral,color,YELLOW,1,pilot_study_data/3/audios/neutral_5_color.wav, Hello?,1.0624943310657597
neutral,color,GREEN,1,pilot_study_data/3/audios/neutral_6_color.wav, Green,1.0624943310657597
neutral,color,BLUE,1,pilot_study_data/3/audios/neutral_7_color.wav, Blue,1.0624943310657597
neutral,color,GREEN,1,pilot_study_data/3/audios/neutral_8_color.wav, Green,1.0624943310657597
neutral,color,RED,1,pilot_study_data/3/audios/neutral_9_color.wav, Red,1.0624943310657597
neutral,color,YELLOW,1,pilot_study_data/3/audios/neutral_10_color.wav, Yellow,1.0624943310657597
neutral,color,RED,1,pilot_study_data/3/audios/neutral_11_color.wav," If you listen to all the important details of existence before other restrictions, certainly check your link in the description below.",1.0624943310657597
congruent,word,YELLOW,1,pilot_study_data/3/audios/congruent_0_word.wav, Hello,1.0624943310657597
congruent,word,YELLOW,1,pilot_study_data/3/audios/congruent_1_word.wav, Hello,1.0624943310657597
congruent,word,GREEN,1,pilot_study_data/3/audios/congruent_2_word.wav, Green,1.0624943310657597
congruent,word,BLUE,1,pilot_study_data/3/audios/congruent_3_word.wav, Blue,1.0624943310657597
congruent,word,BLUE,1,pilot_study_data/3/audios/congruent_4_word.wav, Blue,1.0624943310657597
congruent,word,RED,1,pilot_study_data/3/audios/congruent_5_word.wav, Fred,1.0624943310657597
congruent,word,GREEN,1,pilot_study_data/3/audios/congruent_6_word.wav, Green,1.0624943310657597
congruent,word,BLUE,1,pilot_study_data/3/audios/congruent_7_word.wav, Blue,1.0624943310657597
congruent,word,RED,1,pilot_study_data/3/audios/congruent_8_word.wav, Dead.,1.0624943310657597
congruent,word,GREEN,1,pilot_study_data/3/audios/congruent_9_word.wav, Green,1.0624943310657597
congruent,word,RED,1,pilot_study_data/3/audios/congruent_10_word.wav, Red,1.0624943310657597
congruent,word,YELLOW,1,pilot_study_data/3/audios/congruent_11_word.wav, YELLOW,1.0624943310657597
congruent,color,YELLOW,1,pilot_study_data/3/audios/congruent_0_color.wav, Hello,1.0624943310657597
congruent,color,YELLOW,1,pilot_study_data/3/audios/congruent_1_color.wav, YELLOW,1.0624943310657597
congruent,color,GREEN,1,pilot_study_data/3/audios/congruent_2_color.wav, Green,1.0624943310657597
congruent,color,BLUE,1,pilot_study_data/3/audios/congruent_3_color.wav, Blue,1.0624943310657597
congruent,color,BLUE,1,pilot_study_data/3/audios/congruent_4_color.wav, Blue,1.0624943310657597
congruent,color,RED,1,pilot_study_data/3/audios/congruent_5_color.wav, Red,1.0624943310657597
congruent,color,GREEN,1,pilot_study_data/3/audios/congruent_6_color.wav, Green,1.0624943310657597
congruent,color,BLUE,1,pilot_study_data/3/audios/congruent_7_color.wav, Blue,1.0624943310657597
congruent,color,RED,1,pilot_study_data/3/audios/congruent_8_color.wav, Right,1.0624943310657597
congruent,color,GREEN,1,pilot_study_data/3/audios/congruent_9_color.wav, Green,1.0624943310657597
congruent,color,RED,1,pilot_study_data/3/audios/congruent_10_color.wav, Fred,1.0624943310657597
congruent,color,YELLOW,1,pilot_study_data/3/audios/congruent_11_color.wav, Hello,1.0624943310657597
conflict,word,GREEN,1,pilot_study_data/3/audios/conflict_0_word.wav,,1.0624943310657597
conflict,word,BLUE,1,pilot_study_data/3/audios/conflict_1_word.wav, Blue,1.0624943310657597
conflict,word,RED,1,pilot_study_data/3/audios/conflict_2_word.wav, red,1.0624943310657597
conflict,word,RED,1,pilot_study_data/3/audios/conflict_3_word.wav, Red,1.0624943310657597
conflict,word,GREEN,1,pilot_study_data/3/audios/conflict_4_word.wav, Green,1.0624943310657597
conflict,word,GREEN,1,pilot_study_data/3/audios/conflict_5_word.wav, Green,1.0624943310657597
conflict,word,BLUE,1,pilot_study_data/3/audios/conflict_6_word.wav, Blue,1.0624943310657597
conflict,word,YELLOW,1,pilot_study_data/3/audios/conflict_7_word.wav, Hello,1.0624943310657597
conflict,word,BLUE,1,pilot_study_data/3/audios/conflict_8_word.wav, Blue,1.0624943310657597
conflict,word,YELLOW,1,pilot_study_data/3/audios/conflict_9_word.wav, Hello,1.0624943310657597
conflict,word,YELLOW,1,pilot_study_data/3/audios/conflict_10_word.wav, Hello,1.0624943310657597
conflict,word,RED,1,pilot_study_data/3/audios/conflict_11_word.wav, Red,1.0624943310657597
conflict,color,RED,1,pilot_study_data/3/audios/conflict_0_color.wav, Red,1.0624943310657597
conflict,color,RED,1,pilot_study_data/3/audios/conflict_1_color.wav, red,1.0624943310657597
conflict,color,GREEN,1,pilot_study_data/3/audios/conflict_2_color.wav, Green,1.0624943310657597
conflict,color,YELLOW,1,pilot_study_data/3/audios/conflict_3_color.wav, Hello?,1.0624943310657597
conflict,color,YELLOW,1,pilot_study_data/3/audios/conflict_4_color.wav, Hello,1.0624943310657597
conflict,color,BLUE,1,pilot_study_data/3/audios/conflict_5_color.wav, Liu Li,1.0624943310657597
conflict,color,GREEN,1,pilot_study_data/3/audios/conflict_6_color.wav, Green,1.0624943310657597
conflict,color,BLUE,1,pilot_study_data/3/audios/conflict_7_color.wav, Blue,1.0624943310657597
conflict,color,YELLOW,1,pilot_study_data/3/audios/conflict_8_color.wav, YELLOW,1.0624943310657597
conflict,color,GREEN,1,pilot_study_data/3/audios/conflict_9_color.wav, Green,1.0624943310657597
conflict,color,RED,1,pilot_study_data/3/audios/conflict_10_color.wav, to,1.0624943310657597
conflict,color,BLUE,1,pilot_study_data/3/audios/conflict_11_color.wav, Blue,1.0624943310657597
