polarity,todotask,correct,total_time,audio_path
neutral,word,HOUSE,1,pilot_study_data/1/audios/neutral_0_word.wav
neutral,word,CAT,1,pilot_study_data/1/audios/neutral_1_word.wav
neutral,word,BALL,1,pilot_study_data/1/audios/neutral_2_word.wav
neutral,word,TABLE,1,pilot_study_data/1/audios/neutral_3_word.wav
neutral,word,ROCK,1,pilot_study_data/1/audios/neutral_4_word.wav
neutral,word,TREE,1,pilot_study_data/1/audios/neutral_5_word.wav
neutral,word,BOOK,1,pilot_study_data/1/audios/neutral_6_word.wav
neutral,word,ROPE,1,pilot_study_data/1/audios/neutral_7_word.wav
neutral,word,FISH,1,pilot_study_data/1/audios/neutral_8_word.wav
neutral,word,BABY,1,pilot_study_data/1/audios/neutral_9_word.wav
neutral,word,SPOON,1,pilot_study_data/1/audios/neutral_10_word.wav
neutral,word,GUN,1,pilot_study_data/1/audios/neutral_11_word.wav
neutral,color,BLUE,1,pilot_study_data/1/audios/neutral_0_color.wav
neutral,color,GREEN,1,pilot_study_data/1/audios/neutral_1_color.wav
neutral,color,YELLOW,1,pilot_study_data/1/audios/neutral_2_color.wav
neutral,color,BLUE,1,pilot_study_data/1/audios/neutral_3_color.wav
neutral,color,RED,1,pilot_study_data/1/audios/neutral_4_color.wav
neutral,color,YELLOW,1,pilot_study_data/1/audios/neutral_5_color.wav
neutral,color,GREEN,1,pilot_study_data/1/audios/neutral_6_color.wav
neutral,color,BLUE,1,pilot_study_data/1/audios/neutral_7_color.wav
neutral,color,GREEN,1,pilot_study_data/1/audios/neutral_8_color.wav
neutral,color,RED,1,pilot_study_data/1/audios/neutral_9_color.wav
neutral,color,YELLOW,1,pilot_study_data/1/audios/neutral_10_color.wav
neutral,color,RED,1,pilot_study_data/1/audios/neutral_11_color.wav
congruent,word,GREEN,1,pilot_study_data/1/audios/congruent_0_word.wav
congruent,word,RED,1,pilot_study_data/1/audios/congruent_1_word.wav
congruent,word,YELLOW,1,pilot_study_data/1/audios/congruent_2_word.wav
congruent,word,GREEN,1,pilot_study_data/1/audios/congruent_3_word.wav
congruent,word,BLUE,1,pilot_study_data/1/audios/congruent_4_word.wav
congruent,word,BLUE,1,pilot_study_data/1/audios/congruent_5_word.wav
congruent,word,GREEN,1,pilot_study_data/1/audios/congruent_6_word.wav
congruent,word,YELLOW,1,pilot_study_data/1/audios/congruent_7_word.wav
congruent,word,BLUE,1,pilot_study_data/1/audios/congruent_8_word.wav
congruent,word,RED,1,pilot_study_data/1/audios/congruent_9_word.wav
congruent,word,RED,1,pilot_study_data/1/audios/congruent_10_word.wav
congruent,word,YELLOW,1,pilot_study_data/1/audios/congruent_11_word.wav
congruent,color,GREEN,1,pilot_study_data/1/audios/congruent_0_color.wav
congruent,color,RED,1,pilot_study_data/1/audios/congruent_1_color.wav
congruent,color,YELLOW,1,pilot_study_data/1/audios/congruent_2_color.wav
congruent,color,GREEN,1,pilot_study_data/1/audios/congruent_3_color.wav
congruent,color,BLUE,1,pilot_study_data/1/audios/congruent_4_color.wav
congruent,color,BLUE,1,pilot_study_data/1/audios/congruent_5_color.wav
congruent,color,GREEN,1,pilot_study_data/1/audios/congruent_6_color.wav
congruent,color,YELLOW,1,pilot_study_data/1/audios/congruent_7_color.wav
congruent,color,BLUE,1,pilot_study_data/1/audios/congruent_8_color.wav
congruent,color,RED,1,pilot_study_data/1/audios/congruent_9_color.wav
congruent,color,RED,1,pilot_study_data/1/audios/congruent_10_color.wav
congruent,color,YELLOW,1,pilot_study_data/1/audios/congruent_11_color.wav
conflict,word,RED,1,pilot_study_data/1/audios/conflict_0_word.wav
conflict,word,BLUE,1,pilot_study_data/1/audios/conflict_1_word.wav
conflict,word,GREEN,1,pilot_study_data/1/audios/conflict_2_word.wav
conflict,word,RED,1,pilot_study_data/1/audios/conflict_3_word.wav
conflict,word,YELLOW,1,pilot_study_data/1/audios/conflict_4_word.wav
conflict,word,YELLOW,1,pilot_study_data/1/audios/conflict_5_word.wav
conflict,word,BLUE,1,pilot_study_data/1/audios/conflict_6_word.wav
conflict,word,GREEN,1,pilot_study_data/1/audios/conflict_7_word.wav
conflict,word,YELLOW,1,pilot_study_data/1/audios/conflict_8_word.wav
conflict,word,RED,1,pilot_study_data/1/audios/conflict_9_word.wav
conflict,word,GREEN,1,pilot_study_data/1/audios/conflict_10_word.wav
conflict,word,BLUE,1,pilot_study_data/1/audios/conflict_11_word.wav
conflict,color,GREEN,1,pilot_study_data/1/audios/conflict_0_color.wav
conflict,color,YELLOW,1,pilot_study_data/1/audios/conflict_1_color.wav
conflict,color,RED,1,pilot_study_data/1/audios/conflict_2_color.wav
conflict,color,BLUE,1,pilot_study_data/1/audios/conflict_3_color.wav
conflict,color,BLUE,1,pilot_study_data/1/audios/conflict_4_color.wav
conflict,color,GREEN,1,pilot_study_data/1/audios/conflict_5_color.wav
conflict,color,RED,1,pilot_study_data/1/audios/conflict_6_color.wav
conflict,color,YELLOW,1,pilot_study_data/1/audios/conflict_7_color.wav
conflict,color,RED,1,pilot_study_data/1/audios/conflict_8_color.wav
conflict,color,YELLOW,1,pilot_study_data/1/audios/conflict_9_color.wav
conflict,color,BLUE,1,pilot_study_data/1/audios/conflict_10_color.wav
conflict,color,GREEN,1,pilot_study_data/1/audios/conflict_11_color.wav
