Word,Condition,Response,Reaction Time (s),Correct
OOOOO,neutral,,N/A,0
DDDDD,neutral,,N/A,0
PPPPP,neutral,,N/A,0
UUUUU,neutral,,N/A,0
DDDDD,neutral,,N/A,0
GREEN,conflict,,N/A,0
RED,congruent,,N/A,0
YELLOW,congruent,,N/A,0
BLUE,conflict,,N/A,0
YELLOW,conflict,,N/A,0
RED,congruent,,N/A,0
BLUE,conflict,,N/A,0
GREEN,conflict,,N/A,0
YELLOW,conflict,,N/A,0
BLUE,congruent,,N/A,0
RED,congruent,,N/A,0
YELLOW,congruent,,N/A,0
GREEN,congruent,,N/A,0
RED,congruent,,N/A,0
YELLOW,congruent,,N/A,0
GREEN,congruent,,N/A,0
GREEN,congruent,,N/A,0
GREEN,congruent,,N/A,0
RED,congruent,,N/A,0
YELLOW,conflict,,N/A,0
