participant_id ,accuracy ,total_time_taken
             1 ,   99.44 ,          113.62
             2 ,   80.0  ,          145.44
             3 ,   94.44 ,          149.32
             4 ,   93.89 ,          161.64
             5 ,   93.89 ,          188.52
             6 ,   94.44 ,          137.04
             7 ,   90.56 ,          138.18
             8 ,   89.44 ,          159.32
             9 ,   96.11 ,          145.84
            10 ,   96.11 ,          136.51
            11 ,   92.22 ,          162.85
            12 ,   94.44 ,          115.95
            13 ,   95.0  ,          126.83
            14 ,   97.22 ,          144.38
            15 ,   96.67 ,          135.67
            16 ,   98.33 ,          187.3
